n_snps,panel,reductor,classifier,fold,acc,f1,mcc,roc_auc
10,fst_stat,EN,RF,1,0.7128712871287128,0.7114914682957657,0.5662665092575053,0.8683121704921438
10,fst_stat,EN,XGB,1,0.693069306930693,0.6934001024806579,0.5344692848181225,0.8778823530105867
10,fst_stat,EN,LR,1,0.7029702970297029,0.6993359092006762,0.5366993379324216,0.8957895857817801
10,fst_stat,EN,SVM_RBF,1,0.7524752475247525,0.7517701770177019,0.6226999229477229,0.8997335912757412
10,fst_stat,EN,SVM_Lin,1,0.6732673267326733,0.6694072693833361,0.4894936959607734,0.8911779507620275
10,fst_stat,EN,GBM,1,0.693069306930693,0.69323783442174,0.5357147371234198,0.860149166466071
10,fst_stat,EN,RF,2,0.7524752475247525,0.7507870017771008,0.6129978422094278,0.9014535514870038
10,fst_stat,EN,XGB,2,0.7821782178217822,0.781230226470923,0.6592002557698937,0.9006832641868323
10,fst_stat,EN,LR,2,0.8118811881188119,0.8093513670303908,0.705247737966654,0.9217328868310135
10,fst_stat,EN,SVM_RBF,2,0.7425742574257426,0.7401441405325624,0.597237302348615,0.8863823872298449
10,fst_stat,EN,SVM_Lin,2,0.7920792079207921,0.7899082267030689,0.6741021229536972,0.9100930881818483
10,fst_stat,EN,GBM,2,0.7623762376237624,0.7601022714746691,0.6290201210558951,0.887618882422629
10,fst_stat,EN,RF,3,0.7425742574257426,0.7377914432369879,0.5962367086402721,0.8873020676325161
10,fst_stat,EN,XGB,3,0.7227722772277227,0.7154045173177291,0.563734830792454,0.886959639713377
10,fst_stat,EN,LR,3,0.801980198019802,0.7944825841469165,0.6897870675350242,0.9322179688918477
10,fst_stat,EN,SVM_RBF,3,0.7524752475247525,0.7383955384604902,0.6108493950672867,0.9001113887423879
10,fst_stat,EN,SVM_Lin,3,0.8118811881188119,0.8019387331991626,0.7072538157582091,0.9111755114803896
10,fst_stat,EN,GBM,3,0.693069306930693,0.6846056034174846,0.5168438008970703,0.8524674239564091
10,fst_stat,EN,RF,4,0.75,0.7441922997165965,0.6086246552188245,0.8934003598328886
10,fst_stat,EN,XGB,4,0.74,0.7363695380774032,0.5914145489625712,0.8853582481609704
10,fst_stat,EN,LR,4,0.76,0.7544105894105894,0.6224186518162329,0.8999393795647032
10,fst_stat,EN,SVM_RBF,4,0.73,0.7235079790989974,0.5806353292459139,0.8721229081161971
10,fst_stat,EN,SVM_Lin,4,0.73,0.7254542840713054,0.5770735024350208,0.8945272317337009
10,fst_stat,EN,GBM,4,0.72,0.7153878648233487,0.5626764011408402,0.8581109108218223
15,stat,EN,RF,0,0.7722772277227723,0.7694822113790326,0.6425136311368963,0.9208236575431045
15,stat,EN,XGB,0,0.7920792079207921,0.7899114805995366,0.6778032746470171,0.9050925335938717
15,stat,EN,LR,0,0.7524752475247525,0.7522451240819921,0.6134797450926129,0.9104217700560252
15,stat,EN,SVM_RBF,0,0.7920792079207921,0.7878951777893397,0.6735090309487156,0.9118806904266316
15,stat,EN,SVM_Lin,0,0.7722772277227723,0.7710063566971718,0.6428050153692468,0.9152806687151022
15,stat,EN,GBM,0,0.7722772277227723,0.773462712124871,0.6481139617475833,0.906168552265787
15,stat,EN,RF,1,0.7623762376237624,0.7552929353085684,0.631817988061276,0.9205617917203556
15,stat,EN,XGB,1,0.7722772277227723,0.7675069803067961,0.6537290948533748,0.9141303706535643
15,stat,EN,LR,1,0.8118811881188119,0.8100715597956831,0.7074684600630721,0.9267410522539872
15,stat,EN,SVM_RBF,1,0.801980198019802,0.7936969433488675,0.6906997812222568,0.9159321915900863
15,stat,EN,SVM_Lin,1,0.801980198019802,0.7991728559486189,0.6912536136371965,0.9226931500125076
15,stat,EN,GBM,1,0.7425742574257426,0.7348656294200847,0.603417365928368,0.8868127239001459
15,stat,EN,RF,2,0.8118811881188119,0.8085112728140285,0.7064380582647036,0.9316978297910502
15,stat,EN,XGB,2,0.801980198019802,0.8013176552176794,0.6924955529319872,0.9226483109846179
15,stat,EN,LR,2,0.8118811881188119,0.8078027314926615,0.7083314622253626,0.9187978774620166
