n_snps,panel,reductor,acc_mean,acc_std
15,stat,LR,0.7320990099009901,0.03169160778687703
20,stat,LR,0.7836633663366337,0.025223245946251468
25,stat,LR,0.8153861386138613,0.029790735025235417
30,stat,LR,0.8411287128712871,0.04183383789634807
35,stat,LR,0.8452079207920791,0.02330379278488727
40,stat,LR,0.8888316831683168,0.029237166093657577
45,stat,LR,0.8986930693069308,0.0321367531778376
50,stat,LR,0.9027524752475248,0.014734642687487507
55,stat,LR,0.9166138613861385,0.03186263527571232
60,stat,LR,0.9047524752475248,0.020429656042026012
65,stat,LR,0.9285544554455445,0.02210965356372127
70,stat,LR,0.9186534653465346,0.024562885809255
75,stat,LR,0.9265742574257425,0.016148706071191787
80,stat,LR,0.9246336633663367,0.013291598899816242
90,stat,LR,0.9385148514851485,0.007251419177663546
100,stat,LR,0.9345148514851485,0.00497009979491105
5,stat,EN,0.6805940594059405,0.039492913623185445
10,stat,EN,0.7123366336633663,0.04315249051336581
15,stat,EN,0.7797029702970296,0.038664602355973514
20,stat,EN,0.8372475247524752,0.025132481050710764
25,stat,EN,0.8709504950495048,0.02480514001333731
30,stat,EN,0.8809504950495051,0.006279944441319545
35,stat,EN,0.9067722772277229,0.017138222049962498
40,stat,EN,0.9107128712871286,0.019805187859012367
45,stat,EN,0.9107128712871286,0.014006650429327765
50,stat,EN,0.9364950495049504,0.013494377557492217
55,stat,EN,0.9285544554455445,0.014640829446238172
60,stat,EN,0.9404752475247523,0.006266442932694936
65,stat,EN,0.9285346534653465,0.023898323983630013
70,stat,EN,0.9325346534653465,0.011573507839772767
75,stat,EN,0.9404950495049504,0.021647649374897108
80,stat,EN,0.9384554455445544,0.019347821638030574
90,stat,EN,0.9404950495049504,0.019753405769788908
100,stat,EN,0.9444752475247524,0.01177616953032601
5,fst_stat,RF,0.6348910891089109,0.046823941754400245
10,fst_stat,RF,0.7004356435643564,0.05800843331324601
15,fst_stat,RF,0.7341188118811881,0.013258693807248343
20,fst_stat,RF,0.7757821782178218,0.03355437218246755
25,fst_stat,RF,0.7917029702970297,0.024759951346228062
30,fst_stat,RF,0.8115049504950494,0.024264044358727355
35,fst_stat,RF,0.8293267326732673,0.030521038173674585
40,fst_stat,RF,0.8610693069306932,0.03615162657352202
45,fst_stat,RF,0.876910891089109,0.026704231294359438
50,fst_stat,RF,0.8868316831683168,0.034948671873463934
55,fst_stat,RF,0.9046534653465347,0.028980656364027975
60,fst_stat,RF,0.9146336633663367,0.013817242296774565
65,fst_stat,RF,0.9186534653465348,0.00737357251341753
70,fst_stat,RF,0.9126534653465346,0.01731608159191542
