n_snps,panel,reductor,classifier,acc_mean,acc_std,f1_mean,mcc_mean,roc_auc_mean
20,stat,EN,SVM_Lin,0.8293267326732673,0.03412355805010117,0.8269065369333685,0.7333312413776711,0.9397277020562707
20,stat,EN,SVM_RBF,0.8412673267326733,0.028013188877791674,0.8367849016627955,0.7537079738591597,0.9509005562256
20,stat,EN,XGB,0.8332673267326733,0.04751237462571464,0.8301427346033877,0.7397826919706396,0.9498063180156595
25,stat,EN,GBM,0.8471287128712872,0.04976958968729211,0.8446552210299979,0.7612805739575674,0.9457962927791478
25,stat,EN,LR,0.8492277227722772,0.0415604835954371,0.8477096154318897,0.7649625178391883,0.9579806895333643
25,stat,EN,RF,0.8650297029702969,0.02710977151864177,0.8614810531026968,0.7903160529676484,0.9646350962364529
25,stat,EN,SVM_Lin,0.8511683168316833,0.025407414510080543,0.8501826112331866,0.7685798383254319,0.9499779489619602
25,stat,EN,SVM_RBF,0.8630693069306931,0.016551245602877282,0.8609539963896159,0.787227992403045,0.9591174063882681
25,stat,EN,XGB,0.8610891089108911,0.019997794212251358,0.8588055564560214,0.783156573266219,0.9586686026790264
30,stat,EN,GBM,0.8451881188118812,0.022189000207817573,0.8420502885569234,0.7589027127800432,0.9506392896230205
30,stat,EN,LR,0.892950495049505,0.030607866409287816,0.8919459414147249,0.8339974369844644,0.9661207400966063
30,stat,EN,RF,0.8789306930693069,0.013393518382899677,0.876206132242832,0.8136236761229391,0.9709990594535229
30,stat,EN,SVM_Lin,0.8691485148514853,0.03207260658150608,0.868680571929764,0.7983991688244853,0.9621097146601343
30,stat,EN,SVM_RBF,0.882970297029703,0.014388833366007896,0.8811583870980811,0.8188630438948902,0.9673463382374257
30,stat,EN,XGB,0.867029702970297,0.011817071220823554,0.8646163511889633,0.7934065790086431,0.9654176247605246
35,stat,EN,GBM,0.878891089108911,0.027131458992325705,0.8759326265849445,0.8124552965905728,0.9677158468571875
35,stat,EN,LR,0.9225940594059405,0.013118793200061396,0.922226407645829,0.8798295142805937,0.9801163178977605
35,stat,EN,RF,0.8987920792079208,0.02267828212085184,0.8955853419797126,0.8440120948873775,0.9792392688460272
35,stat,EN,SVM_Lin,0.8987128712871287,0.030620322605342545,0.8983308143502683,0.8429786144633045,0.977638095743521
35,stat,EN,SVM_RBF,0.9127128712871286,0.018965707706721114,0.9112368908055346,0.8649069731930185,0.9761191498845585
35,stat,EN,XGB,0.9046732673267327,0.02905551781298764,0.9035336540111167,0.8517981743339137,0.9776135785804716
40,stat,EN,GBM,0.8769306930693069,0.026194621962959783,0.8748709237009914,0.8094643221588754,0.9755185005634688
40,stat,EN,LR,0.9166138613861385,0.028773272079452773,0.9162514757797217,0.8706708399990065,0.9808503750542661
40,stat,EN,RF,0.9107128712871286,0.007012389780263911,0.9082612480378025,0.8625038414797856,0.9831157291193466
40,stat,EN,SVM_Lin,0.8988118811881188,0.02144655931336611,0.8977779418922893,0.8430297793140209,0.9753376676557307
40,stat,EN,SVM_RBF,0.9106732673267327,0.01439026400274913,0.9097533744101121,0.861594979694908,0.979204946290789
40,stat,EN,XGB,0.9066732673267326,0.023298651759414993,0.9061455934774602,0.8554677540153502,0.9798689764206795
45,stat,EN,GBM,0.8908118811881188,0.03530354875713726,0.8896226927205328,0.8309290687279363,0.9830755290303456
45,stat,EN,LR,0.9284752475247524,0.029687916977605002,0.9279643492662452,0.8897361496158214,0.985636472407608
45,stat,EN,RF,0.9146732673267326,0.011373734095354858,0.9122782367691105,0.8685259910384465,0.9857861411111152
