method,panel_size,classifier,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std
05a LR,75,SVM (RBF),0.9623366336633662,0.011485421642365233,0.9620387740873447,0.011762189518981208,0.941494040446614,0.017828839163913836,0.9950824261632446,0.0019085423427012557
05a LR,75,SVM (Linear),0.9325742574257425,0.024502500127512972,0.9329358936391362,0.024855661947517822,0.8959805975887324,0.03819329853077755,0.9887640209452944,0.0041717233236169896
05a LR,75,KNN,0.9047128712871289,0.017593432573510367,0.9026964598890457,0.018506035920102328,0.8530357953156601,0.026942990748019275,0.9704592899806261,0.013675129638919366
05a LR,75,Naive Bayes,0.6904158415841585,0.024572206933704262,0.6925639972966191,0.02811779699352454,0.5995826624562283,0.02777718073595087,0.9421424330557219,0.014651250570062505
05a LR,75,Grad Boosting,0.9008118811881187,0.012387305941779505,0.8992929396563435,0.012842678420986525,0.8458954195878793,0.01998757129494064,0.9836836674002593,0.006038617344037268
05a LR,75,AdaBoost,0.8790297029702969,0.03138175938465319,0.8767423789294734,0.03368106434988409,0.8167975190650646,0.04531905510633763,0.9708132737165585,0.006454723276359791
05a LR,75,MLP,0.9424950495049504,0.011424627156975991,0.9424518490340796,0.01159972950011461,0.9106909406058742,0.0179171507566628,0.9903233747521621,0.0038993567452453148
05a LR,80,Random Forest,0.9286138613861386,0.01803067890638924,0.9260922684658869,0.019442750793613364,0.8911080786903927,0.02761676436190824,0.9916875170160946,0.0033106802412804425
05a LR,80,XGBoost,0.9028316831683169,0.02441830666974243,0.9009175747107223,0.025255774619327608,0.8487677773947675,0.038276914213321724,0.9842810658907565,0.006045313332064728
05a LR,80,Logistic Reg,0.9484356435643564,0.014487472996899686,0.948375297195577,0.01502055546461005,0.9203284541880224,0.02315600068895209,0.9925219919027277,0.0016245907925595286
05a LR,80,SVM (RBF),0.9662970297029702,0.010042864703743668,0.9660658515460236,0.0101902066265155,0.9475832084590701,0.01568318406282331,0.9962993784326464,0.0014794968462489755
05a LR,80,SVM (Linear),0.9484356435643564,0.011465739831486854,0.9485089288673617,0.011718984544174237,0.9200921724868787,0.01827448983501401,0.9908557386300256,0.0030407586039567706
05a LR,80,KNN,0.9087524752475249,0.019103072005903648,0.9057762978715882,0.02064961483957991,0.8593176533451498,0.029275799592873946,0.9721124651965105,0.009841437875281057
05a LR,80,Naive Bayes,0.6943564356435643,0.029978262228726463,0.6995146776759789,0.03218487850397864,0.5911645833026185,0.03268745881335052,0.9394484343762507,0.014646096639239027
05a LR,80,Grad Boosting,0.9227128712871288,0.025247610172637464,0.9215948190610277,0.025591383754215463,0.8799526339206748,0.03919138923666507,0.9850960664304239,0.005866278521448064
05a LR,80,AdaBoost,0.8988118811881188,0.014529850556708244,0.897728633351762,0.014066885219661695,0.8478195658769712,0.022512107970631513,0.9726614298688399,0.0055359272386648365
05a LR,80,MLP,0.9265742574257425,0.019452923525850232,0.9258246471484105,0.01948927154943134,0.8862788986890828,0.0302745348049429,0.9879640447692655,0.005913939227812935
05a LR,90,Random Forest,0.9385742574257424,0.024506628605407373,0.9363866782563214,0.025924395111325323,0.9060197303629313,0.03726365288729945,0.9919256031309729,0.0039933551969040465
05a LR,90,XGBoost,0.902811881188119,0.021011160739008022,0.9015509583161645,0.021250336588172748,0.8488466561117118,0.033114908835688246,0.9850056447385978,0.005066446166814435
05a LR,90,Logistic Reg,0.9603366336633663,0.008789848972330353,0.9601189386457112,0.008974666727855856,0.9387516265790893,0.014298312137483834,0.9937262331279488,0.002003092282669867
05a LR,90,SVM (RBF),0.9682574257425742,0.011536858668224868,0.9680179396351466,0.01175989935680896,0.950823489488856,0.01804942993889958,0.9966675311849972,0.002435456230453321
05a LR,90,SVM (Linear),0.9484158415841584,0.003915588105601032,0.9482455282333427,0.0038491647231456492,0.9203035143666582,0.006435914391740153,0.9936030368051864,0.0015263943003734624
05a LR,90,KNN,0.9127326732673268,0.016890938213897765,0.9111176210806864,0.019173893576616897,0.8646439150029902,0.026042932097342732,0.9762831792625695,0.011199884756560714
05a LR,90,Naive Bayes,0.7082178217821782,0.03349345588468445,0.7136562542797262,0.03616049586127908,0.60525313146047,0.03945306372178605,0.9441978873481098,0.015039295400603636
05a LR,90,Grad Boosting,0.9166732673267328,0.013387310277389262,0.9158208235268225,0.013344008940421431,0.8707920047169033,0.021174130329839277,0.985443295430272,0.005339096983697381
05a LR,90,AdaBoost,0.880990099009901,0.01633393317013964,0.8758999748841365,0.019713232832685883,0.8228244810003886,0.024039785251992705,0.9657392835322952,0.005198170154338959
05a LR,90,MLP,0.8986138613861385,0.051779811770321274,0.8979962818952052,0.05253316481930168,0.8418802159688259,0.081055133170072,0.976892550821872,0.022602414825259147
05a LR,100,Random Forest,0.9424950495049504,0.015753019761453473,0.9413341326894715,0.01660340034806166,0.9114187061988389,0.024401774245133488,0.9913615747403279,0.0034538414074950508
05a LR,100,XGBoost,0.9048118811881188,0.021161230278398353,0.9030890798063431,0.021583580485795683,0.8525059696021525,0.03330969069470792,0.9860807299093348,0.0033983311557228583
05a LR,100,Logistic Reg,0.9742178217821781,0.004802378262566061,0.9740849875508151,0.004897814730726221,0.9601293896392848,0.0077286562687596755,0.9972511491367939,0.0014143209806784906
05a LR,100,SVM (RBF),0.9821584158415841,0.011532915349433999,0.9819868636684242,0.01173307545407002,0.9724222301681934,0.017917414863858262,0.9975197305393152,0.002528397286269896
05a LR,100,SVM (Linear),0.9662574257425742,0.004949069101564617,0.96620081093045,0.004613829708767496,0.947877050021242,0.007624067435643328,0.9965094719712331,0.0015689630727226795
05a LR,100,KNN,0.8987920792079208,0.020284072174057095,0.8967392456554142,0.022192239683430426,0.8439383391984296,0.03138097100079167,0.9825510849418102,0.006683421823933544
05a LR,100,Naive Bayes,0.724059405940594,0.04767673717362371,0.7294724430993668,0.050091619701207,0.6242236214431982,0.05850337411168194,0.9471793454531732,0.01565129198060202
05a LR,100,Grad Boosting,0.9186930693069307,0.019064936834109345,0.9180014346225427,0.018966526051724147,0.8736514255742105,0.03002268138809422,0.9873737889279971,0.00502160005503266
05a LR,100,AdaBoost,0.8769306930693069,0.031929119617384115,0.8746524954116814,0.03014130507003195,0.8175696106688731,0.04696367412794836,0.9727539200187788,0.004079720960446707
05a LR,100,MLP,0.9484752475247525,0.021993716296116617,0.9484290718757385,0.022068450432054812,0.9200265960201095,0.034377495242632825,0.9940276754509718,0.002684193861008134
RF,5,Random Forest,0.6407722772277228,0.035108882969504124,0.582700172138996,0.021451336437859573,0.4549642466642337,0.04775393894097002,0.813094438561801,0.038535224024120095
RF,5,XGBoost,0.6447128712871287,0.04013239534297824,0.5900036687145965,0.02834574826831458,0.4589398872818086,0.05945073034243794,0.8136153971363189,0.04059007263127347
RF,5,Logistic Reg,0.6446930693069307,0.043189185617904524,0.5893317074995261,0.030935833661364535,0.46082374035145585,0.062378231574441674,0.8079464811493182,0.04619582940828836
RF,5,SVM (RBF),0.6347920792079208,0.04016433256547842,0.576703617189195,0.027218158438995207,0.4427706408201676,0.05691751407962937,0.7493809147492885,0.034393822727196835
