n_snps,panel,reductor,classifier,fold,acc,f1,mcc
5,fst_stat,LR,RF,3,0.6138613861386139,0.5428171849443009,0.3838458825830967
5,fst_stat,LR,XGB,3,0.6336633663366337,0.5617024370735726,0.4189190765594241
5,fst_stat,LR,LR,3,0.6534653465346535,0.5804254946849619,0.454852639037388
5,fst_stat,LR,SVM_RBF,3,0.6138613861386139,0.5428171849443009,0.3838458825830967
5,fst_stat,LR,SVM_Lin,3,0.6831683168316832,0.6083241657499083,0.5107872118037269
5,fst_stat,LR,GBM,3,0.6138613861386139,0.5428171849443009,0.3838458825830967
5,fst_stat,LR,RF,4,0.68,0.6575843417675101,0.5020453452957664
5,fst_stat,LR,XGB,4,0.67,0.6489069067872582,0.4857827599415127
5,fst_stat,LR,LR,4,0.69,0.6810785943908657,0.514921689343248
5,fst_stat,LR,SVM_RBF,4,0.68,0.6722087826366264,0.4952946142871203
5,fst_stat,LR,SVM_Lin,4,0.69,0.6825283142151881,0.5161671252432687
5,fst_stat,LR,GBM,4,0.68,0.6578612010068321,0.5069751967524906
5,fst_stat,EN,RF,0,0.6435643564356436,0.6397562833206397,0.44030495793508845
5,fst_stat,EN,XGB,0,0.5544554455445545,0.5546846071042564,0.3090981713501014
5,fst_stat,EN,LR,0,0.6237623762376238,0.5959995526739436,0.3989239336422063
5,fst_stat,EN,SVM_RBF,0,0.6039603960396039,0.5380858085808581,0.36994407211986186
5,fst_stat,EN,SVM_Lin,0,0.594059405940594,0.5262490508172187,0.3490873845399299
5,fst_stat,EN,GBM,0,0.5841584158415841,0.579105607502363,0.34859775967139645
5,fst_stat,EN,RF,1,0.6039603960396039,0.5866573787365866,0.3793840021354667
5,fst_stat,EN,XGB,1,0.6138613861386139,0.5762156666211814,0.384383677527868
5,fst_stat,EN,LR,1,0.6831683168316832,0.6736798450516399,0.5030263883556233
5,fst_stat,EN,SVM_RBF,1,0.6831683168316832,0.6709568424394406,0.49992308686460524
5,fst_stat,EN,SVM_Lin,1,0.6534653465346535,0.580828814588776,0.45353169146673683
5,fst_stat,EN,GBM,1,0.6138613861386139,0.5762156666211814,0.384383677527868
5,fst_stat,EN,RF,2,0.6831683168316832,0.6801641249787893,0.5269820991837412
5,fst_stat,EN,XGB,2,0.6633663366336634,0.6608419453857823,0.4973442095689578
5,fst_stat,EN,LR,2,0.6633663366336634,0.6643338795575296,0.4912288713905914
5,fst_stat,EN,SVM_RBF,2,0.6732673267326733,0.6699198491277699,0.5146302836473147
5,fst_stat,EN,SVM_Lin,2,0.6633663366336634,0.6646591456531273,0.5033476680469584
5,fst_stat,EN,GBM,2,0.6732673267326733,0.6718643719578171,0.5053218858176166
5,fst_stat,EN,RF,3,0.6534653465346535,0.585028080272816,0.4810960729639118
5,fst_stat,EN,XGB,3,0.6633663366336634,0.5923033812815244,0.4870048795253796
5,fst_stat,EN,LR,3,0.6237623762376238,0.5577816180203522,0.41639731395207574
5,fst_stat,EN,SVM_RBF,3,0.6237623762376238,0.5577816180203522,0.41639731395207574
5,fst_stat,EN,SVM_Lin,3,0.6732673267326733,0.5959480760988791,0.4887104444844849
5,fst_stat,EN,GBM,3,0.6633663366336634,0.5923033812815244,0.4870048795253796
5,fst_stat,EN,RF,4,0.68,0.6629256306533472,0.5187620634320872
5,fst_stat,EN,XGB,4,0.69,0.6730346623409886,0.5330492179621277
5,fst_stat,EN,LR,4,0.71,0.6930920060331824,0.5558640120497025
5,fst_stat,EN,SVM_RBF,4,0.67,0.6547252747252748,0.4912629886137688
5,fst_stat,EN,SVM_Lin,4,0.67,0.6538282250490909,0.4973220585812881
5,fst_stat,EN,GBM,4,0.67,0.6475410152687318,0.50076199183486
10,stat,RF,RF,0,0.7029702970297029,0.62705274301015,0.5523758781691804
10,stat,RF,XGB,0,0.7128712871287128,0.6343705799151343,0.5659990223010214
10,stat,RF,LR,0,0.7128712871287128,0.6343705799151343,0.5659990223010214
